feature,importance
mother_height_cm,0.3880109
age_x_poverty,0.20404065
age_x_low_edu,0.18765001
child_age_months,0.16733004
child_sex,0.15085593
mother_bmi,0.13563299
country_4,0.118713245
wealth_index,0.111050546
country_10,0.10008259
country_9,0.09303533
birth_interval_months,0.092820846
antenatal_visits,0.09079153
birth_weight_grams,0.086237885
region_3.0,0.06515835
age_sq,0.05804736
mother_age,0.053106923
birth_order,0.051552076
birth_risk,0.050968513
country_7,0.04763909
country_1,0.044664837
delivery_place,0.031094218
birth_size_perceived,0.02741979
region_5.0,0.024344312
household_size,0.022994414
mother_education,0.018248472
mother_short,0.016451463
country_6,0.0147118885
sanitation_type,0.012291119
region_8.0,0.012151214
region_15.0,0.011663797
region_2.0,0.0112440055
region_24.0,0.011242813
region_12.0,0.010652571
country_3,0.010161782
country_8,0.009064455
region_1.0,0.008722902
urban_rural,0.00825336
mother_risk,0.007886497
region_4.0,0.0074605374
country_5,0.0059861536
region_10.0,0.005393419
region_14.0,0.005285579
env_risk,0.00527869
region_26.0,0.0052276445
region_11.0,0.005069547
region_43.0,0.004910247
region_53.0,0.004694382
region_32.0,0.0046063494
region_9.0,0.004109525
first_born,0.0040374123
water_source,0.0036177426
region_42.0,0.0035983503
region_25.0,0.0034166744
region_44.0,0.0029305585
short_interval,0.0026466385
region_7.0,0.0026310605
region_6.0,0.0024243644
region_21.0,0.002169169
region_16.0,0.0016243554
country_2,0.0014443737
region_41.0,0.0009896824
region_36.0,0.0009074038
region_22.0,0.0007601917
region_47.0,0.0007020964
region_17.0,0.0006049181
region_13.0,0.0005506423
region_54.0,0.00054475974
region_52.0,0.00047564026
region_28.0,0.000413047
region_39.0,0.0004114368
region_31.0,0.00038183297
region_37.0,0.000333098
region_19.0,0.00032799304
region_23.0,0.00023544705
region_38.0,0.00014913731
region_34.0,0.00013634686
region_55.0,0.00013368262
region_20.0,0.00012987312
region_18.0,0.000114861476
region_35.0,0.00011154905
region_29.0,7.1898394e-05
region_0.0,2.4489085e-05
region_27.0,0.0
region_30.0,0.0
region_33.0,0.0
region_46.0,0.0
region_45.0,0.0
region_40.0,0.0
region_51.0,0.0
